# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
40

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TCZFITCZEU,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 8.333333332999993459e+00, 0.000000000000000000e+00, 8.333365941695650037e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,30,17
# x,y,z,u,w
1.672904018012246041e+01, 2.212769051695062661e+00, 6.639439394696164065e+00, 1.500000000000000000e+00, 2.500000000000000000e-01
1.672953218762398109e+01, 1.697007591479291033e+00, 5.797885079809159237e+00, 1.500000000000000000e+00, 5.000000000000000000e-01
1.672972682745867345e+01, 9.338808514489465029e-01, 5.231652442905293299e+00, 1.500000000000000000e+00, 7.500000000000000000e-01
1.672976759131458380e+01, -1.647987302177966740e-17, 5.024330944135225963e+00, 1.500000000000000000e+00, 1.000000000000000000e+00
1.672972682745867345e+01, -9.338808514489465029e-01, 5.231652442905293299e+00, 1.500000000000000000e+00, 1.250000000000000000e+00
1.672953218762398109e+01, -1.697007591479290589e+00, 5.797885079809159237e+00, 1.500000000000000000e+00, 1.500000000000000000e+00
1.672904018012245331e+01, -2.212769051695063105e+00, 6.639439394696164065e+00, 1.500000000000000000e+00, 1.750000000000000000e+00
1.672796743611569781e+01, -2.404459169139223640e+00, 7.672759243251032757e+00, 1.500000000000000000e+00, 2.000000000000000000e+00
1.672613308217607653e+01, -2.220245110992582482e+00, 8.709435870835978477e+00, 1.500000000000000000e+00, 2.250000000000000000e+00
1.672390610366934283e+01, -1.707881859548410430e+00, 9.558507674762026340e+00, 1.500000000000000000e+00, 2.500000000000000000e+00
1.672187744424127587e+01, -9.413569107464663244e-01, 1.013247875932637676e+01, 1.500000000000000000e+00, 2.750000000000000000e+00
1.672097602186433107e+01, -3.904372837796603180e-17, 1.034337799574796790e+01, 1.500000000000000000e+00, 3.000000000000000000e+00
1.672187744424127587e+01, 9.413569107464663244e-01, 1.013247875932637676e+01, 1.500000000000000000e+00, 3.250000000000000000e+00
1.672390610366934283e+01, 1.707881859548410430e+00, 9.558507674762026340e+00, 1.500000000000000000e+00, 3.500000000000000000e+00
1.672613308217608008e+01, 2.220245110992584703e+00, 8.709435870835978477e+00, 1.500000000000000000e+00, 3.750000000000000000e+00
1.672796743611569781e+01, 2.404459169139224084e+00, 7.672759243251032757e+00, 1.500000000000000000e+00, 4.000000000000000000e+00
1.873333333258399591e+01, 2.416666666569999844e+00, 7.772647009966714648e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
1.873333333258400302e+01, 2.227109374910914319e+00, 6.716151058304428823e+00, 2.000000000000000000e+00, 2.500000000000000000e-01
1.873333333258399591e+01, 1.709791666598274640e+00, 5.854518032770712921e+00, 2.000000000000000000e+00, 5.000000000000000000e-01
1.873333333258399591e+01, 9.417447916289966026e-01, 5.274165404953018665e+00, 2.000000000000000000e+00, 7.500000000000000000e-01
1.873333333258399591e+01, 0.000000000000000000e+00, 5.061510646438797778e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
1.873333333258399591e+01, -9.417447916289966026e-01, 5.274165404953018665e+00, 2.000000000000000000e+00, 1.250000000000000000e+00
1.873333333258399591e+01, -1.709791666598274640e+00, 5.854518032770712921e+00, 2.000000000000000000e+00, 1.500000000000000000e+00
1.873333333258399591e+01, -2.227109374910915207e+00, 6.716151058304429711e+00, 2.000000000000000000e+00, 1.750000000000000000e+00
1.873333333258399591e+01, -2.416666666569999844e+00, 7.772647009966714648e+00, 2.000000000000000000e+00, 2.000000000000000000e+00
1.873333333258399591e+01, -2.227109374910915207e+00, 8.829142961628999586e+00, 2.000000000000000000e+00, 2.250000000000000000e+00
1.873333333258399236e+01, -1.709791666598274640e+00, 9.690775987162716376e+00, 2.000000000000000000e+00, 2.500000000000000000e+00
1.873333333258399591e+01, -9.417447916289967136e-01, 1.027112861498041063e+01, 2.000000000000000000e+00, 2.750000000000000000e+00
1.873333333258399236e+01, 0.000000000000000000e+00, 1.048378337349463152e+01, 2.000000000000000000e+00, 3.000000000000000000e+00
1.873333333258399591e+01, 9.417447916289967136e-01, 1.027112861498041063e+01, 2.000000000000000000e+00, 3.250000000000000000e+00
1.873333333258399591e+01, 1.709791666598274640e+00, 9.690775987162716376e+00, 2.000000000000000000e+00, 3.500000000000000000e+00
1.873333333258399946e+01, 2.227109374910916983e+00, 8.829142961629001363e+00, 2.000000000000000000e+00, 3.750000000000000000e+00
